model,family,goal_all_f1,action_task_success
claude-3-5-sonnet-20240620,Anthropic,0.0,72.7869
claude-3-haiku-20240307,Anthropic,28.079,43.6066
claude-3-opus-20240229,Anthropic,31.4683,68.5246
claude-3-sonnet-2024022,Anthropic,29.417,63.2787
cohere-command-r,Cohere,36.6883,21.9672
cohere-command-r-plus,Cohere,22.3567,64.2623
deepseek-v4-flash,Other,38.965,75.5814
gemini-1.0-pro,Google,23.9181,8.8525
gemini-1.5-flash-preview-0514,Google,26.7457,62.623
gemini-1.5-pro-preview-0409,Google,36.2242,24.918
gpt-3.5-turbo-0125,OpenAI,22.6653,17.0492
gpt-4-turbo-2024-04-09,OpenAI,33.2433,58.3607
gpt-4o-2024-05-13,OpenAI,36.5318,63.9344
llama-3-70b-chat,Meta,26.8449,38.6885
llama-3-8b-chat,Meta,22.5839,23.2787
mistral-large-2402,Mistral,26.78,76.3934
mixtral-8x22b-instruct-v0.1,Mistral,26.5573,0.0
o1-mini-2024-09-12,OpenAI,31.1787,65.5738
o1-preview-2024-09-12,OpenAI,42.7462,60.0
